Name,Team_to,League_to,Season,Transfer_fee
Cristiano Ronaldo,Juventus,Serie A,2018-2019,117000000
Thomas Lemar,Atlético Madrid,La Liga,2018-2019,70000000
Riyad Mahrez,Man City,Premier League,2018-2019,67800000
Alisson,Liverpool,Premier League,2018-2019,62500000
Naby Keïta,Liverpool,Premier League,2018-2019,60000000
Fred,Man Utd,Premier League,2018-2019,59000000
Jorginho,Chelsea,Premier League,2018-2019,57000000
Fabinho,Liverpool,Premier League,2018-2019,45000000
Vinícius Júnior,Real Madrid,La Liga,2018-2019,45000000
Malcom,FC Barcelona,La Liga,2018-2019,41000000
João Cancelo,Juventus,Serie A,2018-2019,40400000
Douglas Costa,Juventus,Serie A,2018-2019,40000000
Richarlison,Everton,Premier League,2018-2019,39200000
Radja Nainggolan,Inter,Serie A,2018-2019,38000000
Felipe Anderson,West Ham,Premier League,2018-2019,38000000
Clément Lenglet,FC Barcelona,La Liga,2018-2019,35900000
Arthur,FC Barcelona,La Liga,2018-2019,31000000
Jean Michaël Seri,Fulham,Premier League,2018-2019,30000000
Lucas Torreira,Arsenal,Premier League,2018-2019,30000000
Aleksandr Golovin,Monaco,Ligue 1,2018-2019,30000000
Álvaro Odriozola,Real Madrid,La Liga,2018-2019,30000000
Fabián Ruiz,SSC Napoli,Serie A,2018-2019,30000000
Abdou Diallo,Bor. Dortmund,Bundesliga,2018-2019,28000000
Geoffrey Kondogbia,Valencia CF,La Liga,2018-2019,25000000
Simone Verdi,SSC Napoli,Serie A,2018-2019,25000000
Issa Diop,West Ham,Premier League,2018-2019,25000000
Bernd Leno,Arsenal,Premier League,2018-2019,25000000
Jannik Vestergaard,Southampton,Premier League,2018-2019,25000000
James Maddison,Leicester,Premier League,2018-2019,25000000
Javier Pastore,AS Roma,Serie A,2018-2019,24700000
Yuri Berchiche,Athletic Bilbao,La Liga,2018-2019,24000000
Alassane Pléa,Bor. M'gladbach,Bundesliga,2018-2019,23000000
Ricardo Pereira,Leicester,Premier League,2018-2019,22000000
Diogo Dalot,Man Utd,Premier League,2018-2019,22000000
Alex Meret,SSC Napoli,Serie A,2018-2019,22000000
Lucas Digne,Everton,Premier League,2018-2019,20200000
Aleksandar Mitrovic,Fulham,Premier League,2018-2019,20200000
William Carvalho,Real Betis,La Liga,2018-2019,20000000
Rodri,Atlético Madrid,La Liga,2018-2019,20000000
Andriy Yarmolenko,West Ham,Premier League,2018-2019,20000000
Gerard Moreno,Villarreal CF,La Liga,2018-2019,20000000
Nikola Kalinic,AC Milan,Serie A,2018-2019,20000000
Thomas Delaney,Bor. Dortmund,Bundesliga,2018-2019,20000000
Rolando Mandragora,Udinese Calcio,Serie A,2018-2019,20000000
Terence Kongolo,Huddersfield,Premier League,2018-2019,20000000
Willem Geubbels,Monaco,Ligue 1,2018-2019,20000000
Alireza Jahanbakhsh,Brighton,Premier League,2018-2019,19000000
Duje Caleta-Car,Marseille,Ligue 1,2018-2019,19000000
Paulinho,Bay. Leverkusen,Bundesliga,2018-2019,18500000
Karl Toko Ekambi,Villarreal CF,La Liga,2018-2019,18000000
Mohamed Elyounoussi,Southampton,Premier League,2018-2019,18000000
Justin Kluivert,AS Roma,Serie A,2018-2019,17250000
Duván Zapata,Sampdoria,Serie A,2018-2019,17000000
Yves Bissouma,Brighton,Premier League,2018-2019,16900000
Lautaro Martínez,Inter,Serie A,2018-2019,16000000
Sokratis,Arsenal,Premier League,2018-2019,16000000
Nordi Mukiele,RB Leipzig,Bundesliga,2018-2019,16000000
Joris Gnagnon,Sevilla FC,La Liga,2018-2019,15000000
Joaquín Correa,Lazio,Serie A,2018-2019,15000000
Grégoire Defrel,AS Roma,Serie A,2018-2019,15000000
Mouctar Diakhaby,Valencia CF,La Liga,2018-2019,15000000
Ibrahim Amadou,Sevilla FC,La Liga,2018-2019,15000000
Matheus Cunha,RB Leipzig,Bundesliga,2018-2019,15000000
Roger Martínez,Villarreal CF,La Liga,2018-2019,14900000
Xherdan Shaqiri,Liverpool,Premier League,2018-2019,14700000
Diogo Jota,Wolves,Premier League,2018-2019,14000000
Daniel Ginczek,VfL Wolfsburg,Bundesliga,2018-2019,14000000
Jean-Eudes Aholou,Monaco,Ligue 1,2018-2019,14000000
Danny Ward,Leicester,Premier League,2018-2019,14000000
Davy Klaassen,Werder Bremen,Bundesliga,2018-2019,13500000
Gerard Deulofeu,Watford,Premier League,2018-2019,13000000
Mattia Perin,Juventus,Serie A,2018-2019,12000000
Mitchell Weiser,Bay. Leverkusen,Bundesliga,2018-2019,12000000
M'Baye Niang,Torino,Serie A,2018-2019,12000000
Mikel Merino,Real Sociedad,La Liga,2018-2019,12000000
Willy Boly,Wolves,Premier League,2018-2019,12000000
Marcelo Saracchi,RB Leipzig,Bundesliga,2018-2019,12000000
Diego Rico,Bournemouth,Premier League,2018-2019,12000000
Benik Afobe,Wolves,Premier League,2018-2019,11400000
Josh Murphy,Cardiff,Premier League,2018-2019,11400000
Bobby Reid,Cardiff,Premier League,2018-2019,11350000
David Brooks,Bournemouth,Premier League,2018-2019,11300000
Angus Gunn,Southampton,Premier League,2018-2019,11300000
Santiago Arias,Atlético Madrid,La Liga,2018-2019,11000000
Suat Serdar,FC Schalke 04,Bundesliga,2018-2019,11000000
Gianluca Lapadula,Genoa,Serie A,2018-2019,11000000
Wout Weghorst,VfL Wolfsburg,Bundesliga,2018-2019,10500000
Jordan Amavi,Marseille,Ligue 1,2018-2019,10000000
Francesco Acerbi,Lazio,Serie A,2018-2019,10000000
Leonardo Pavoletti,Cagliari Calcio,Serie A,2018-2019,10000000
Soualiho Meïté,Torino,Serie A,2018-2019,10000000
Omar Mascarell,FC Schalke 04,Bundesliga,2018-2019,10000000
Danilo,OGC Nice,Ligue 1,2018-2019,10000000
Santiago Cáseres,Villarreal CF,La Liga,2018-2019,10000000
Bernardo,Brighton,Premier League,2018-2019,10000000
Adama Diakhaby,Huddersfield,Premier League,2018-2019,10000000
Pelé,Monaco,Ligue 1,2018-2019,10000000
Diego Falcinelli,Bologna,Serie A,2018-2019,10000000
Antonio Barreca,Monaco,Ligue 1,2018-2019,10000000
Federico Di Francesco,Sassuolo,Serie A,2018-2019,10000000
Borja Iglesias,Espanyol,La Liga,2018-2019,10000000
Alphonso Davies,Bayern Munich ,Bundesliga,2018-2019,10000000
Davide Santon,AS Roma,Serie A,2018-2019,9500000
Patrik Schick,AS Roma,Serie A,2018-2019,9000000
Germán Pezzella,Fiorentina,Serie A,2018-2019,9000000
Ramiro Funes Mori,Villarreal CF,La Liga,2018-2019,9000000
Pablo Maffeo,VfB Stuttgart,Bundesliga,2018-2019,9000000
Riccardo Saponara,Fiorentina,Serie A,2018-2019,9000000
Khouma Babacar,Sassuolo,Serie A,2018-2019,9000000
Lukasz Skorupski,Bologna,Serie A,2018-2019,9000000
Jordan Siebatcheu,Stade Rennais,Ligue 1,2018-2019,9000000
Antonino La Gumina,FC Empoli,Serie A,2018-2019,9000000
Keno,Pyramids FC,Premier League,2018-2019,8600000
Alban Lafont,Fiorentina,Serie A,2018-2019,8500000
Nicólas González,VfB Stuttgart,Bundesliga,2018-2019,8500000
Andriy Lunin,Real Madrid,La Liga,2018-2019,8500000
Robin Olsen,AS Roma,Serie A,2018-2019,8500000
Tanguy Ndombélé,Olympique Lyon,Ligue 1,2018-2019,8000000
Sergi Darder,Espanyol,La Liga,2018-2019,8000000
Kasim Adams,TSG Hoffenheim,Bundesliga,2018-2019,8000000
Armando Izzo,Torino,Serie A,2018-2019,8000000
Cristiano Piccini,Valencia CF,La Liga,2018-2019,8000000
Ignacio Pussetto,Udinese Calcio,Serie A,2018-2019,8000000
Lukasz Fabianski,West Ham,Premier League,2018-2019,8000000
Mattéo Guendouzi,Arsenal,Premier League,2018-2019,8000000
Jean-Philippe Mateta,1.FSV Mainz 05,Bundesliga,2018-2019,8000000
Fran Beltrán,Celta de Vigo,La Liga,2018-2019,8000000
Stuart Armstrong,Southampton,Premier League,2018-2019,7950000
Omar Colley,Sampdoria,Serie A,2018-2019,7750000
Valon Berisha,Lazio,Serie A,2018-2019,7500000
Andrea Favilli,Juventus,Serie A,2018-2019,7500000
Pierre Kunde,1.FSV Mainz 05,Bundesliga,2018-2019,7500000
Federico Valietti,Genoa,Serie A,2018-2019,7500000
Salif Sané,FC Schalke 04,Bundesliga,2018-2019,7000000
Jonny Castro,Atlético Madrid,La Liga,2018-2019,7000000
Wahbi Khazri,Saint-Étienne,Ligue 1,2018-2019,7000000
Mikel Merino,Newcastle,Premier League,2018-2019,7000000
Marcel Tisserand,VfL Wolfsburg,Bundesliga,2018-2019,7000000
Tomas Vaclik,Sevilla FC,La Liga,2018-2019,7000000
Néstor Araujo,Celta de Vigo,La Liga,2018-2019,7000000
Federico Dimarco,Inter,Serie A,2018-2019,7000000
Davide Bettella,Atalanta,Serie A,2018-2019,7000000
Valentino Lazaro,Hertha BSC,Bundesliga,2018-2019,6500000
Lucas Castro,Cagliari Calcio,Serie A,2018-2019,6500000
Ramadan Sobhi,Huddersfield,Premier League,2018-2019,6500000
Riza Durmisi,Lazio,Serie A,2018-2019,6500000
Ronaldo Vieira,Sampdoria,Serie A,2018-2019,6500000
Daniel Wass,Valencia CF,La Liga,2018-2019,6000000
Tomás Rincón,Torino,Serie A,2018-2019,6000000
Ante Coric,AS Roma,Serie A,2018-2019,6000000
Okay Yokuslu,Celta de Vigo,La Liga,2018-2019,6000000
Roque Mesa,Sevilla FC,La Liga,2018-2019,6000000
Leonardo Bittencourt,TSG Hoffenheim,Bundesliga,2018-2019,6000000
Florin Andone,Brighton,Premier League,2018-2019,6000000
Moussa Niakhaté,1.FSV Mainz 05,Bundesliga,2018-2019,6000000
Walace,Hannover 96,Bundesliga,2018-2019,6000000
Ronaël Pierre-Gabriel,Monaco,Ligue 1,2018-2019,6000000
Fabri,Fulham,Premier League,2018-2019,6000000
Federico Santander,Bologna,Serie A,2018-2019,6000000
Borna Sosa,VfB Stuttgart,Bundesliga,2018-2019,6000000
William Bianda,AS Roma,Serie A,2018-2019,6000000
Bremer,Torino,Serie A,2018-2019,5800000
João Moutinho,Wolves,Premier League,2018-2019,5600000
Vincenzo Grifo,TSG Hoffenheim,Bundesliga,2018-2019,5500000
Fabio Borini,AC Milan,Serie A,2018-2019,5500000
Ishak Belfodil,TSG Hoffenheim,Bundesliga,2018-2019,5500000
Carlos Eduardo,Pyramids FC,Premier League,2018-2019,5200000
Rodriguinho,Pyramids FC,Premier League,2018-2019,5100000
Bryan Cristante,Atalanta,Serie A,2018-2019,5000000
Marius Wolf,Bor. Dortmund,Bundesliga,2018-2019,5000000
Gonzalo Castro,VfB Stuttgart,Bundesliga,2018-2019,5000000
Sergi Gómez,Sevilla FC,La Liga,2018-2019,5000000
Adam Masina,Watford,Premier League,2018-2019,5000000
Christophe Hérelle,OGC Nice,Ligue 1,2018-2019,5000000
Firmin Mubele,Toulouse,Ligue 1,2018-2019,5000000
Florent Hadergjonaj,Huddersfield,Premier League,2018-2019,5000000
Nemanja Maksimovic,Getafe CF,La Liga,2018-2019,5000000
Johan Mojica,Girona FC,La Liga,2018-2019,5000000
Christian Kouamé,Genoa,Serie A,2018-2019,5000000
Luca Waldschmidt,SC Freiburg,Bundesliga,2018-2019,5000000
Marc Muniesa,Girona FC,La Liga,2018-2019,5000000
Felipe Vizeu,Udinese Calcio,Serie A,2018-2019,5000000
Marco Tumminello,Atalanta,Serie A,2018-2019,5000000
